Name,Website,Symbol,Ticker,Exchange,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,Name,Industry,Sector,Year Founded,IPO Date,Headquarter Location,latitude,longitude,SEC ID,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"City, State,","City, County, State, Country",source,precision,CEO,CEO LinkedIn,CEO Pay,Salary Year,Arabesque Profile,Shortsqueeze Profile,,,Country,Sector,Size,Region,Industry,GC Score,ESG Score,Temperature Score,,State,Industry,Competency - Flexibility,Competency - Honesty,Competency - Changes according to the situation,Competency - Encourages initiative,Competency - Value driven decision-making,Competency - Delegating,Competency - Integrity,Competency - Leadership by example,Competency - Clear vision,Competency - Humility,Individual - Integrity/ethics,Individual - Analytic intelligence,Individual - Sense of urgency,Individual - Willingness to ask for help,Individual - Decision making,Individual - Ability to simplify,Individual - Creative Questioning approach,Individual - Leadership,Individual - Openness,Individual - Communications skills,Individual - People empathy,Individual - Potential problem identification,Individual - Vision/perspective,Individual - Ego drive,Individual - Non-political,Individual - Endurance,Individual - Willingness to take unqualified responsibility,Individual - Willingness to take the lead,Results Orientation - RESULTS ORIENTATION,Results Orientation - Market and customer knowledge,Results Orientation - Some familiarity with technology,Results Orientation - Articulates and champions a vision,"Results Orientation - Identifies, grows, and deploys core competencies",Results Orientation - Establishes strategy,Results Orientation - Focuses on profitability,Results Orientation - Builds a team,Results Orientation - Defines clear cut objectives,Results Orientation - Delivers objectives,Results Orientation - Removes obstacles for the team,Results Orientation - Establishes and enforces a culture,Results Orientation - Asks the right questions,Results Orientation - Focuses on both short and long term,Results Orientation - Early problem identification,Results Orientation - Ability to solve a problem,Results Orientation - Encourages continuous learning at all levels,Results Orientation - Reinforces mobility of the team and its core competencies
Global Payments Inc.,globalpaymentsinc.com,GPN,GPN,NYSE,Information Technology,100.59,27.86,0.04,1.58,113.26,76.47,"16,920,023,264","960,345,000",6,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,2000,4/25/2016,"Atlanta, Georgia",33.75,-84.39,1123360,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Atlanta, Georgia","Atlanta, Fulton County, GA, US",MapQuest,city/town,Jeffrey Sloan,0,"20,502,096.00",2019,https://sray.arabesque.com/dashboard/00317L-E/Global_Payments_Inc.,https://shortsqueeze.com/?symbol=GPN&submit=Short+Quote%E2%84%A13,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Depot,homedepot.com,HD,HD,NYSE,Consumer Discretionary,181.22,28.1,1.86,6.46,207.61,136.82,"223,000,000,000","16,513,000,000",3,84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HD,Home Depot,Consumer Discretionary,Home Improvement Retail,1978,3/31/1988,"Atlanta, Georgia",33.75,-84.39,354950,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Atlanta, Georgia","Atlanta, Fulton County, GA, US",MapQuest,city/town,Craig Menear,0,"10,889,833.00",2020,"https://sray.arabesque.com/dashboard/000LR9-E/Home_Depot,_Inc.",https://shortsqueeze.com/?symbol=HD&submit=Short+Quote%E2%84%A14,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intercontinental Exchange,theice.com,ICE,ICE,NYSE,Financials,67,22.95,5.43,2.37,76.14,56.8,"41,373,051,167","3,103,000,000",10,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2000,9/26/2007,"Atlanta, Georgia",33.75,-84.39,1571949,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Atlanta, Georgia","Atlanta, Fulton County, GA, US",MapQuest,city/town,Jeffrey Sprecher,0,"14,408,908.00",2019,"https://sray.arabesque.com/dashboard/0D819X-E/Intercontinental_Exchange,_Inc.",https://shortsqueeze.com/?symbol=ICE&submit=Short+Quote%E2%84%A15,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invesco Ltd.,-,IVZ,IVZ,NYSE,Financials,31.92,11.87,3.47,2.74,38.43,29.36,"13,620,847,614","1,606,200,000",3,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,1935,8/21/2008,"Atlanta, Georgia",33.75,-84.39,914208,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Atlanta, Georgia","Atlanta, Fulton County, GA, US",MapQuest,city/town,Martin Flanagan,0,"11,518,949.00",2019,https://sray.arabesque.com/dashboard/0033W4-E/Invesco_Ltd.,https://shortsqueeze.com/?symbol=IVZ&submit=Short+Quote%E2%84%A16,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coca-Cola Company (The),coca-colacompany.com,KO,KO,NYSE,Consumer Staples,43.1,22.8,3.32,1.49,48.62,40.22,"190,000,000,000","8,589,000,000",7,9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO,Coca-Cola Company,Consumer Staples,Soft Drinks,1886,3/4/1957,"Atlanta, Georgia",33.75,-84.39,21344,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Atlanta, Georgia","Atlanta, Fulton County, GA, US",MapQuest,city/town,James Quincey,0,"18,701,149.00",2019,https://sray.arabesque.com/dashboard/000DWY-E/Coca-Cola_Company,https://shortsqueeze.com/?symbol=KO&submit=Short+Quote%E2%84%A17,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newell Brands,newellbrands.com,NWL,NWL,NASDAQ,Consumer Discretionary,27.91,9.72,3.12,1.17,55.08,23.85,"14,438,346,000","2,021,400,000",1,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,1903,4/30/1989,"Atlanta, Georgia",33.75,-84.39,814453,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Atlanta, Georgia","Atlanta, Fulton County, GA, US",MapQuest,city/town,Ravichandra Saligram,0,"7,569,502.00",2019,https://sray.arabesque.com/dashboard/002FH6-E/Newell_Brands_Inc,https://shortsqueeze.com/?symbol=NWL&submit=Short+Quote%E2%84%A18,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulte Homes Inc.,pulte.com,PHM,PHM,NYSE,Consumer Discretionary,28.67,12.86,1.2,1.44,35.21,21.06,"8,792,572,352","992,811,000",1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PHM,PulteGroup,Consumer Discretionary,Homebuilding,1956,4/30/1984,"Atlanta, Georgia",33.75,-84.39,822416,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Atlanta, Georgia","Atlanta, Fulton County, GA, US",MapQuest,city/town,Ryan Marshall,0,"9,216,065.00",2019,"https://sray.arabesque.com/dashboard/000V2H-E/PulteGroup,_Inc.",https://shortsqueeze.com/?symbol=PHM&submit=Short+Quote%E2%84%A19,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Co.,thesouthernco.net,SO,SO,NYSE,Utilities,43.4,15.78,5.35,2.53,53.51,42.63,"43,497,224,128","6,012,000,000",3,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SO,Southern Company,Utilities,Electric Utilities,1945,3/4/1957,"Atlanta, Georgia",33.75,-84.39,92122,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Atlanta, Georgia","Atlanta, Fulton County, GA, US",MapQuest,city/town,Thomas Fanning,0,"27,865,185.00",2019,https://sray.arabesque.com/dashboard/000WQ5-E/Southern_Company,https://shortsqueeze.com/?symbol=SO&submit=Short+Quote%E2%84%A20,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Parcel Service,-,UPS,UPS,NYSE,Industrials,109.28,18.27,2.97,5.62,135.53,102.12,"96,436,356,833","7,919,000,000",1,65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UPS,United Parcel Service,Industrials,Air Freight & Logistics,1907,7/22/2002,"Atlanta, Georgia",33.75,-84.39,1090727,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Atlanta, Georgia","Atlanta, Fulton County, GA, US",MapQuest,city/town,David Abney,0,"18,030,925.00",2019,"https://sray.arabesque.com/dashboard/000Y4G-E/United_Parcel_Service,_Inc._Class_B",https://shortsqueeze.com/?symbol=UPS&submit=Short+Quote%E2%84%A21,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WestRock Company,-,WRK,WRK,NYSE,Materials,60.93,23.26,2.67,2.77,71.55,49.23,"16,433,340,688","2,262,300,000",1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WRK,WestRock,Materials,Paper Packaging,2015,5/13/6644,"Atlanta, Georgia",33.75,-84.39,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,Weyerhaeuser,"Atlanta, Georgia","Atlanta, Fulton County, GA, US",MapQuest,city/town,Steven Voorhees,0,"11,659,257.00",2019,https://sray.arabesque.com/dashboard/0KBSXG-E/WestRock_Company,https://shortsqueeze.com/?symbol=WRK&submit=Short+Quote%E2%84%A22,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BorgWarner,-,BWA,BWA,NYSE,Consumer Discretionary,51.94,14.15,1.24,0.55,58.22,37.54,"11,596,117,445","867,900,000",2,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,1880,12/19/2011,"Auburn Hills, Michigan",42.67,-83.23,908255,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Auburn Hills, Michigan","Auburn Hills, Oakland County, MI, US",MapQuest,city/town,Frederic Lissalde,0,"13,947,029.00",2019,https://sray.arabesque.com/dashboard/000CZ5-E/BorgWarner_Inc.,https://shortsqueeze.com/?symbol=BWA&submit=Short+Quote%E2%84%A23,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hormel Foods Corp.,-,HRL,HRL,NYSE,Consumer Staples,32.21,20.39,2.29,1.57,38,29.75,"17,338,613,096","1,422,305,000",3,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,1891,3/4/2009,"Austin, Minnesota",43.67,-92.97,48465,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Austin, Minnesota","Austin, Mower County, MN, US",MapQuest,city/town,James Snee,0,"8,324,267.00",2019,https://sray.arabesque.com/dashboard/000LS4-E/Hormel_Foods_Corporation,https://shortsqueeze.com/?symbol=HRL&submit=Short+Quote%E2%84%A24,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle Corp.,-,ORCL,ORCL,NYSE,Information Technology,46.84,18.81,1.56,2.2,53.14,40.01,"202,000,000,000","16,545,000,000",5,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ORCL,Oracle Corp.,Information Technology,Application Software,1977,8/31/1989,"Austin, Texas",30.26,-97.75,1341439,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Austin, Texas","Austin, Travis County, TX, US",MapQuest,city/town,Mark Hurd,0,"2,481,646.00",2019,https://sray.arabesque.com/dashboard/000SY8-E/Oracle_Corporation,https://shortsqueeze.com/?symbol=ORCL&submit=Short+Quote%E2%84%A25,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Rowe Price Group,-,TROW,TROW,NASDAQ,Financials,101.99,19.92,2.14,4.75,120.07,66.7,"25,810,865,035","2,281,400,000",7,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,1937,10/1/4947,"Baltimore, Maryland",39.29,-76.61,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,Take-Two Interactive,"Baltimore, Maryland","Baltimore, Baltimore City, MD, US",MapQuest,city/town,William Stromberg,0,"14,588,346.00",2019,https://sray.arabesque.com/dashboard/002XXL-E/T._Rowe_Price_Group,https://shortsqueeze.com/?symbol=TROW&submit=Short+Quote%E2%84%A26,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under Armour Class C,#N/A,UA,UA,NYSE,Consumer Discretionary,11.95,29.15,0,0.45,21.81,10.36,"5,366,628,950","399,277,000",1,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1996,4/8/2016,"Baltimore, Maryland",39.29,-76.61,1336917,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Baltimore, Maryland","Baltimore, Baltimore City, MD, US",MapQuest,city/town,#N/A,#N/A,#N/A,#N/A,-,https://shortsqueeze.com/?symbol=UA&submit=Short+Quote%E2%84%A27,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under Armour Class A,underarmour.com,UAA,UAA,NYSE,Consumer Discretionary,13.14,32.05,0,0.45,23.46,11.4,"5,856,913,571","399,277,000",2,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1996,5/1/2014,"Baltimore, Maryland",39.29,-76.61,1336917,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Baltimore, Maryland","Baltimore, Baltimore City, MD, US",MapQuest,city/town,Kevin Plank,0,"5,954,169.00",2019,"https://sray.arabesque.com/dashboard/067DXX-E/Under_Armour,_Inc._Class_A",https://shortsqueeze.com/?symbol=UAA&submit=Short+Quote%E2%84%A28,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
